details_id,Role,Industry Type,Department,Employment Type,Role Category,description,skills_required
372,Test Architect,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Quality Assurance and Testing,"Api Automation,java,SDET,API Testing,Selenium,Automation,Automation testing,API","QA,Basic,Automation,github,Debugging,splunk,Manual,Selenium,JIRA,Android"
373,Quality Assurance and Testing - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Quality Assurance and Testing,"Automation Testing,Appium,Selenium,Uipath,QA analysis,Automation,Quality assurance,Software testing","automation framework,Automation,Testing tools,Test management,Performance testing,Agile,Selenium,Management,JIRA,SQL"
374,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Develop user-friendly web portals using Guidewire technology.,Collaborate with cross-functional teams for requirements gathering and backend integration.,Create intuitive user interfaces for insurance processes.,Customize portal components for specific client needs.,Write clean, efficient, and maintainable front-end code.,Identify and resolve technical issues and bugs.,Conduct thorough testing to ensure portal functionality.,Document code, processes, and user guides.,Stay updated with industry trends for process improvement.,Enhance user experience and contribute to a seamless UI/UX.,Experience in React and insurance.","Guidewire,Portal Development,Producer engage,edgeAPI,react,Guidewire Portal"
375,Automation Test Engineer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Quality Assurance and Testing,"Automation testing,bdd cucumber,automation,java,selenium,bdd,software testing,cucumber,selenium webdriver,api automation,sql,git,jenkins,api,testng,agile methodology,jira,Hiring","appium,java,automation,mobile testing,api testing,Mobile Automation,performance testing,automation testing,test scripts,azure cloud,azure devops,sql server,git,jenkins,API,aws,Rest assured,jira"
376,IT Project Manager,IT Services & Consulting,Project & Program Management,Full Time Permanent,Technology / IT,"project management,design documents,technical architecture,Technical Project Manager,SRS,SR,Documentation,Technical,Design,Project","Project Management,Software Development,PHP,Node.js,IT Project Management"
377,Mobile / App Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Ability to validate the technical feasibility of UI/UX designs,Experience working with GIT version control within a collaborative team,Experience in design patter such as MVVM, MVP, VIPER,Experience in large scale mobile applications using Obj-C and Swift,Deep understanding of UIKit, Foundation, and other core IOS frameworks,Knowledge of Rest API","Version control,GIT,MVVM,Swift,Mobile applications,IOS"
378,Front End Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Bachelor s degree in computer science, information technology, or a similar field.,Previous experience working as a react js lead.,In-depth knowledge of JavaScript, CSS, HTML, and front-end languages.,Knowledge of REACT tools including React js, Webpack, Enzyme, Redux, and Flux.,Experience with user interface design.,Knowledge of performance testing frameworks including Mocha and Jest.,Experience with browser-based debugging and performance testing software.,Excellent troubleshooting skills.,Good project management skills.","Front end,User interface designing,Project management,Debugging,Javascript,Performance testing,HTML,Troubleshooting,Information technology"
379,Mobile / App Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"AngularJS,TypeScript,Native Apps,CSS,jQuery,UI,Javascript,HTML,Nativescript Development,AJAX,Development,Nativescript,Native","Flutter,RESTful API,CSS,JavaScript,HTML,Swift,iOS,Android,Dart"
380,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"AngularJS,Angular,Angular Development,Frontend developer,UI Development,Angular Version,Angular Material,Front end,Development,UI,Senior","Vue.js,Js Framework,Vue2 and Vue 3,Frontend,Javascript"
381,Other,IT Services & Consulting,Other,Full Time Permanent,Other,"PHP,Vue.js,CSS,Symfony,MySQL,Javascript,Full Stack,HTML,Bitbucket,React.js,JIRA,Laravel,Development","Full Stack Development,Vue.js,OOP,Design patterns,MySQL,Redis,Laravel,Object-oriented design"
382,DevOps Engineer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,DevOps,"DevOps,Jenkins,Terraform,GCP,CICD,Bitbucket,Python,SQL,Kubernetes,Google,Cloud","DevOps,Jenkins,Docker,Kafka,CI/CD,AWS CodePipeline.Kubernetes,cloud infrastructure"
383,Mobile / App Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"React Native,Javascript,Development,React.js,Native","Flutter framework,CSS,Mobile app development,Software development,HTML,iOS,Android,UI/UX,iOS development,Flutter applications,JavaScript,Dart programming,Swift,RESTful APIs"
392,IT Support - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Support,"ERP,SSRS,Microsoft Dynamics AX,RFP,CRM,Project development,Microsoft Dynamics AX Technical Application Developer,Project management,Dynamics 365 ERP,power bi,Technical,Dynamic","microsoft dynamics ax technical,Ax Development,ms dynamics axapta,microsoft dynamics,Microsoft Dynamics AX,Ax Technical"
395,Solution Architect,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Understandthe principles and procedures of software engineering (e.g. SDLC, Agile),Participatein CRRT embedded software development activities,Responsiblefor analyzing and understanding the requirements,Identifieskey module/product level technical risks and assists project manager indeveloping mitigation and recovery plan,Design andDevelop core platform feature or modules independently with high quality &aligned with product requirements,Work as acollaborative team member with global teams,Adheres to client s Quality Management system","Wireless,Linux,Coding,USB,Ethernet,Consulting,Agile,Healthcare,SDLC,Analytics"
400,Customer Success Associate,Auto Components,Customer Success Service & Operations,Full Time Permanent,Customer Success,"Based on request from locations, have to create/amend work orders and maintain the status of requests.,Commerce Graduate with 3 to 4 years experience,Should possess Strong communication skills, both written and verbal,Strong analytical skills, ability to multitask and manage competing priorities.,Proficiency in Excel and SharePoint,Ability to maintain accurate data.","Analytical skills,Basic,Excel,Infringement,Senior Analyst,Billing,Commerce,Budgeting,Management,Sharepoint"
401,Technical Lead,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Design, architect, develop, andtest software systems or services,Use engineering bestpractices for refactoring and code modularization,Transformation of monolith toservice-oriented architecture,Build event drivenmicroservices,Use latest technologies formeeting non-functional requirements such as latency, throughput, scaling,availability, fault tolerance, and observability,Work with Agile/Scrum baseddevelopment process","Cloud computing,Automation,Coding,Enterprise applications,Performance testing,Healthcare,Application development,Unit testing,SDLC,Monitoring"
404,Other,IT Services & Consulting,Other,Full Time Permanent,Other,"Core JAVA with knowledge/experience on JAVA8 Features as well.,Error Handling,Spring / Spring Boot,Database/JPA,REST Service","Javascript,HTML,Java Fullstack,React.Js,springboot,Rest,CSS"
405,Data Scientist,IT Services & Consulting,Data Science & Analytics,Full Time Permanent,Data Science & Machine Learning,"Cloud,Python,Artificial Intelligence,machine learning,Deep Learning,Intelligence,Data,Machine","Pandas,Python,Data scientist"
406,Data Engineer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"We are seeking a highly skilled and experienced Data Engineer/ Senior Data Engineer with expertise in Teradata to join our team.,The ideal candidate will be responsible for designing, building and maintaining high-performance data processing pipelines and data storage solutions using Teradata.","teradata,data warehousing,Teradata SQL,data engineering,Cloud,data processing,Data Modeling,ETL Tool,agile methodology"
407,Software Development - Other,Power,Engineering - Software & QA,Full Time Permanent,Software Development,"Developing reports for data archiving, including submitting requests to decommission application and infrastructure.,Using BMS SQL skills and developing queries, select, and join statements,Supporting non-strategic ERPs as needed and business changes,Collaborating with cross-functional projects/teams to deliver technology solutions for the business.,Communicating across organization and across the Digital Technology function in areas of expertise,Gathering data requirements from business resources that results in report development with documented specifications.,Holding team accountable for delivering solutions to customer,Engaging, leverage, and drive simplified processes,Collaborating with cross-functional teams to produce high-quality content,working in high stress situations and provide support a 24x7 team","Networking,Coding,cassandra,Postgresql,MySQL,Debugging,Performance testing,MongoDB,Archiving,HBase"
408,Business Development Executive (BDE),Banking,Sales & Business Development,Full Time Permanent,BD / Pre Sales,"banking corporate,Retail Banking,Business Banking,Private Banking,Banking Operations,Retail Sales,Sales,Current Account,Acquisition,Branch Banking,banking,Customer Acquisition,Current,Operations","sales,Financial Products Sales,Credit Card Sales,Bfsi Sales,Insurance Sales,Financial Sales,General Insurance Sales,Loan Sales,Banking Sales,Field,Field Sales,Financial Services Sales,Casa Sales"
410,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"servicenow,ITSM,Itom,Itsm Modules,Development","Servicenow,itsm,cmdb,itom,servicenow development"
411,System Analyst,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"About us,Careers,Employer home,Sitemap","Guidewire Development,Billing Center,Policy Center,claim center"
412,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"8+ years of experience in web/application development using Power Pages, PowerApps, HTML, CSS, JavaScript, and other web technologies","Powerbi,Power apps,Power automate,Power portal,Powerpages,SQL Azure,SQL"
413,IT Infrastructure Services - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"About us,Careers,Employer home,Sitemap","Development,Rpa Ui Path,Blue Prism"
414,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Technical      knowledge on Data Analytics  design patterns / data serialization /      structure,Technical knowledge on Power BI -      •                   Build automated reports and dashboards with the help of Power BI and other      reporting tools.,Understand business requirements to set functional specifications for reporting applications.,Be experienced in tools and systems on MS SQL Server BI Stack, including SSRS and TSQL, Power Query, MDX, PowerBI, and DAX,Be able to quickly shape data into reporting and analytics solutions,Have knowledge of database fundamentals such as multidimensional database design, relational database design, and more.,Programming      (Java/Python/Scala)  Python, SQL is must","Power Bi,Dax,Python"
415,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"About us,Careers,Employer home,Sitemap","AKS,Helm,Azure Devops"
416,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"About us,Careers,Employer home,Sitemap","TIBCO,tibco bw"
417,IT Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Security,"About us,Careers,Employer home,Sitemap","Java,Apigee"
418,DevOps Engineer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,DevOps,"10+ years of experience in development or DevOps roles.,5+ years of AWS administration and development including hands on experience with the following services: ELB, EC2, EKS, ECR, S3, SQS, SNS, SSM, Secrets Manager, KMS, RDS, IAM, AutoScaling, CloudWatch, CloudTrail, Config, Inspector, and WAF.,Must be highly proficient using the AWS CLI.,Strong Terraform, Helm experience.,Recent experience using both GitLab and Nexus.","terraform,Aws Cloudformation,kubernetes,Aws Devops,Eks,aws cli,Gitlab"
420,Functional Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"sap sd,SAP,Saps,SD,Consulting","SAP SD,SAP project processing,EDI,RICEFW,agile,iDoc processing"
421,Technical Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"SAP Security,vendor evaluation,user administration,sap grc,sod,sap ecc,security consulting,access control,digital transformation,technology solutions,SAP,Evaluation,Access,GRC","SAP Security,SAP ECC,Fiori,SoD,BIBO,SAP GRC,HANA,CRM"
422,Technical Lead,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Must have worked on coding and implementation on JAVA/J2EE applications of medium to large size.,ATG Dynamo Framework, ATG Servlet Beans, ATG Repositories, Form Handlers, Extending ATG Profile and Profile Management, Dynamo Messaging System, Transaction Management, ATG Scenarios & Personalization Framework.,ATG Catalog Organization, Navigation & Search, Pricing & Promotions, Shopping Cart, Purchase Process & and Order Processing pipeline.,ATG Personalization: Slots, targets, Scenarios, promotions, etc.,Customization of ATG BCC & Merchandizing UI, Configuring Multi sites [Optional],Java, J2EE (Servlets, JSP, JDBC, IOC, MVC, ORM), Web Services, XML/XSLT, Java script,Experience on either of Application Servers  JBOSS, Web Sphere, Weblogic,Ant/Maven, Eclipse, Junit/Mockito, SVN/Git.,Endeca Experience Manager and Endeca Search Integration [Optional].,Good communication and writing skills.","java,atg,mvc,endeca,servlets,ATG Dynamo,Hybris,Atg Commerce"
423,Telecom - Other,Telecom / ISP,Engineering - Hardware & Networks,Full Time Permanent,Telecom,"Distributor Sales,Distribution Channel Sales,TSM,Territory Sales Management,Distributor Handling,Distribution Management,Dealer Management,Territory Development,Distribution Development,Channel Management,Channel Sales Management,territory sales,Dealer Network,Channel sales,Networking","In depth knowledge of broadband/FTTH,WiFi network,Broadband CPEs & copper / FTTH quality parameters."
425,Data Scientist,Banking,Data Science & Analytics,Full Time Permanent,Data Science & Machine Learning,"Excellent programming skills in Python. Strong working knowledge of Python numerical, data analysis, or Python Libraries or packages such as NumPy, Pandas, Scikit-learn, Jupyter, etc. Advanced SQL skills with SQL Server and Spark experience.,Knowledge of predictive/prescriptive analytics including Machine Learning algorithms (Supervised and Unsupervised) and deep learning algorithms and Artificial Neural Networks.,Experience with cloud platforms such as Azure and AWS is preferred.,Experience of big data programmes is preferable,Enthusiastic and energetic problem solver to join an ambitious team.,Business analysis skills, defining and understanding requirements.,Ability to communicate effectively in a multi-programmed environment across a range of stakeholders.","python,Bfsi,sql,Data Science,Tensorflow,algorithms,Azure,Financial Services,Banking Sector,Banking And Finance,numpy,data mapping,Jupyter Notebook,Machine Learning,Scikit-Learn,Deep Learning,Artificial Neural Networks,Pandas,AWS"
426,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"4+   years of Strong Python Development Experience   with Snowflake.,Strong hands of experience with SQL ability to write complex   queries.,Strong understanding of how to connect to Snowflake using Python,   should be able to handle any type of files,Development of Data Analysis, Data Processing engines using Python,Good   Experience in Data Transformation using Python.,Experience in Snowflake data load using python.,Experience in creating user define function in snowflake.,Snowsql   implementation.,Knowledge on query performance tuning will be added advantage.,Good   understanding of data ware house (DWH) concepts.,Interpret / analyze business requirements & functional specifications.,Good   to have DBT, FiveTran and AWS Knowledge.,","snowflake,python,Data analysis,Data processing,AWS,FiveTran,SQL"
434,System Analyst,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"About us,Careers,Employer home,Sitemap","SAP EWM,sap hana,sap s hana,S4H,ewm"
435,Analytics Consultant,Analytics / KPO / Research,Data Science & Analytics,Full Time Permanent,Business Intelligence & Analytics,"Compelling Insights: Data interpretation/ integration and leveraging analytical skills to detect trends / problem solve for business questions that help formulate compelling insights & recommendations.,Client Centricity: Being able to interpret client expectations and deliver right through from proposals to reports successfully. Contributing to the overall client relationship by ensuring overall timelines and requirements are met & pre-empting any challenges/ barriers through the project/ program.,Innovation & Futurism: Stay on trend and bring in new ideas, leverage other Kantar assets and apply new techniques & leverage tech/ digital both to drive richer insights and elevate techniques. Bringing in ideas that will drive efficiency and better returns to us as a business and to our clients.,People Leadership: Collaborating with peers and working with team members helping develop their analytical skills and insights generation abilities.,Networking: Given the nature of our work that spans across various markets, you will be required to purposefully collaborate with different Kantar teams to deliver integrated solutions","Primary Research,Market Research,Quantitative Research,Client Management,Research Analysis,account management,Client Handling"
443,Business Analyst,IT Services & Consulting,Data Science & Analytics,Full Time Permanent,Business Intelligence & Analytics,"contract management,Loan Management,business analysis,Contracts,Management,Analysis","Business analysis,AML,BRD,FSD,Banking,Data Analysis,Capital Marketing,PL,SQL"
453,Technical Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"Data Stewardship,Business Analysis,Analysis,Data,Senior,Stewardship","GRC,Trade surveillance,BRD,Data Analysis,Agile,PLSQL,SQL,Python"
454,Sr. Consultant,IT Services & Consulting,Consulting,Full Time Permanent,Management Consulting,"Manage projects and be responsible for overall delivery and operations,Provide subject matter expertise in CPG and drive client conversations,Manage 3-5 low to medium complex projects with support from junior consultants,Understand business objectives, define problems statement, and develop analytical or BI solutions,Establishes scope of work based on client inputs and business needs and is responsible for estimating budget and effort of the project,Track the execution of project deliverables on a daily basis,Work closely with Client and project team to identify and extract the right data for building the solution,Defines phased deliverables, tracks milestones and incurred expenses versus planned expenses, evaluates risks and highlights dependencies,Provide weekly updates on progress, task prioritization and next steps to Client,Collect and analyses project metrics. Should be able to navigate and step up in ambiguous situations and manage stakeholder expectations,Works with Architects, Designers, Testers, and Business Analysts at a technological and functional level, to ensure that the solution meets business needs,Should be aware of basic information security awareness protocols, software security in Software Development Life Cycle (SDLC)","Computer science,Computer vision,customer analytics,Information security,Analytical,Artificial Intelligence,Software development life cycle,Management,Stakeholder management,SDLC"
455,IT Support - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Support,"•                  Experience in Telecom preferable,•                  Java experience  Webservices, SPRING, JDBC, Core Java,•                  Amdocs Clarify – Smart Client preferable,•                  Oracle experience with hands on experience with PL SQL","Smart Client,Java"
456,Cyber Security,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Security,"Senior Security Architect with strong network security expertise and understanding of network and infrastructure threats,Document, maintain, and implement standards, policies, and procedures within security disciplines that may include vulnerability management, forensics, host and network-based intrusion detection, anti-virus/malware management, or data loss prevention.,Review the IT changes proposed and provide security inputs and risks,Work with the respective customer/vendor stakeholders to coordinate on implementation of security measures suggested and remediation of the issues identified.,Conduct research, analysis, and correlation across a wide variety of source data to identify and prevent compromise of the client networks, host systems, and data.,Analyze network traffic and host data to identify anomalous activity and potential threats,Establish alerting thresholds/triggers, analyze alerts from various sources within the enterprise, and determine possible causes and effects on the systems and data,Perform regular and ad-hoc vulnerability and malware scans to identify unauthorized access to the client's data systems and malicious code activity such as trojans, root kits, backdoors, bots, or malware.","Container Security,Twistlock,Prisma Workbench Protection,docker containers,kubernetes,harbour,Nessus CS,clair,anchore,Aqua Security,POD Security,Qualys CS,DevSecOps,Docker image,Docker bench,Container Drift,POD Networking,Runtime Container Scan,JFrog Xray"
478,Credit Risk,Internet (E-Commerce),Risk Management & Compliance,Full Time Permanent,Finance,"credit risk analysis,SQL,Credit Analysis,Credit Risk Management,SAS,credit risk,Credit Underwriting,Python,Credit,Risk analysis,Underwriting","underwriting,Risk Analytics,Credit Risk,sql,Python,SAS,lending,Credit Risk Analysis"
479,Other Consulting - Other,Recruitment / Staffing,Consulting,Full Time Permanent,Other Consulting,"Tracking and addressing business requirements within required timeline,Bench management,Day to day follow up and coordination with different teams (including business & support) to ensure timely flow of MIS,Responsible for preparation & maintenance of the MIS Reports on Daily, Weekly, & Monthly metrics,Thorough, diligent and executing the tasks with a high level of accuracy,Should be able to re-cut data into various meaningful reports,Excellent in MS Excel (Hlookup, Vlookup, lookup, Pivot Table & Pivot Table Chart, Forms, If/else statements, data validation & Scenarios),Prompt reporting and reply to mails,Time management and Proactive Approach,Conduct deep dive analysis to uncover trends,Provide analytical support to Business Unit reviews,Collaborating with other RM's to close open requirements,Lead efforts in creation of standard operating procedures (S.O.P.’s) and other documentations,Strong analytical skills required including a thorough understanding of how to interpret business needs and translate them into application and operational requirement,Excellent written and verbal communication,Analyzing MIS report to provide feedback,Assist reporting manager in designing of business reporting templates/dashboards etc. and automation of reporting requirement.,Assist in creation of reports as required by business and support teams.,Regular monitoring of budget vs actual and reporting of exceptions. Conducting variance analysis for the same for implementing corrective actions.,Contribute to the development of a corporate culture which encourages dialogue, support for individuals, openness to new ideas and the ability of each individual in the organization to achieve professional and personal fulfillment.,Acts as a point of escalation for all priority issues & provide effective solutions both within the team and for all external customers within the Business.,Support to the team’s for execution of assigned tasks and behaviors within the billing process such that KPIs, and SLAs are always met and often exceeded","Allocation,Bench Management,Fulfillment,Utilization,Resource Management"
480,Customer Service,Retail,Customer Success Service & Operations,Full Time Permanent,Customer Success Service & Operations - Other,"About us,Careers,Employer home,Sitemap","Retail Operations,retail sales management"
481,Category Manager,Internet (E-Commerce),Merchandising Retail & eCommerce,Full Time Permanent,Category Management & Operations,"4+ years of relevant work experience,Bachelors degree minimum; MBA or further engineering or analytical education will be advantageous,Proven manager with a successful, resourceful and hands-on track record of running a complex category end-to-end,Deep analytical capabilities, potentially (although not necessarily) gained from a background in e-commerce, Consulting, Finance or business transformation,Technology affinity and track record of employing systems to drive simplification and change for scale,Demonstrable ability to build lasting relationships and conduct negotiations with key partners to obtain preferable terms and win-win solutions,Able to balance strategy with strong operational skills - able to understand, deconstruct, streamline, and optimize processes,Commercially astute, with strong focus and accountability,Excellent business judgment, with a track record of generating ideas and solving problems,Highly analytical and structured thinking,Excellent track record in hiring and developing high performance teams,Leadership experience in consumer electronics categories in e-commerce and/or e-commerce at scale (Preferred)","category management,marketing,negotiation,business strategy,Merchandising,sell side,pricing,Pricing Strategy"
482,Other,NBFC (Micro Finance),Other,Full Time Permanent,Other,"Manage entire loan processing journey of the customer in coordination with cross functional teams to deliver monthly sales target,Meet the customers to pitch loan product aggressively & support them in every stage of the funnel till delivery,Coordinate with the car selling function to enable quick eligibility checks and enhance the overall funnel,Preparing & maintaining daily MIS of the pipeline,Execute business critical projects within timeline as and when required","sales,sales executive activities,Field Sales,Loan Sales"
484,Accounts Receivable Manager,Courier / Logistics (Logistics Tech),Finance & Accounting,Full Time Permanent,Accounting & Taxation,"Collection Management,Vendor Management,Collections,Operations,Credit Control,Debt Collection,Revenue Assurance,Credit Control Operations,Collections Process,Revenue Collection,Credit Collection,Assurance,Revenue,Control","Collections,Credit Control"
485,Visual Designer,Retail,UX Design & Architecture,Full Time Permanent,Other Design,"Creating and implementing a visual merchandising strategy for the stores at region level,Ensuring the strategy is in line with the stores brand, products, and target market,Creating detailed floor plans for display areas,Sourcing the props, creative materials, and accessories for displays,Installing and setting up window displays, walkways, counters, and in-store displays, or supervising contractors hired for this purpose,Changing displays to promote new product launches or to reflect festive or seasonal themes,Ensuring uniformity of displays across multiple store locations,Liaising with other retail professionals, including buyers, marketing executives, and retail      merchandisers, when necessary,Monitoring costs and working within budget,Researching lifestyle and design trends that will inform the visual merchandising strategy","Visual Merchandising,Apparel,Merchandising"
489,System Analyst,Events / Live Entertainment,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"Represent the IT Team to maintain effective working relationships with internal and external customers.,Requirements gathering from all business areas.,Detailed documentation of Functional Specification,Monitoring and taking ownership of new issues assigned by first line support,Run and manage effective workshops to gather and present requirements.,To System Test and manage the UAT of changes from 3rd parties and in house development to ensure that they satisfy business requirements,To work closely with project managers to deliver projects on time and within budget,To work closely with the development team to ensure system design and delivery accurately meets business requirements.,To provide training to users and/or trainers,Review and improve Project and Business processes to provide business benefit.,To help manage a small team of more Junior Business Analysts.","Prospecting,Sales Process,New Business"
491,Chartered Accountant (CA),Accounting / Auditing,Finance & Accounting,Full Time Permanent,Accounting & Taxation,"Reporting to Associate Directors & Directors for execution of large and complex Accounting Advisory Projects (technical as well as process).,Researching technical issues and providing input into the preparation of high-quality technical reports and presentations.,Provide support to related areas such as IFRS / US GAAP convergence, new accounting pronouncements and other regulatory changes which impact accounting decisions.,Apply Firm's methodologies in servicing clients on IFRS/ US GAAP convergence engagements.,To be up to date with developments on regulatory and accounting matters.","Financial Statements,Indian Gaap,Financial Reporting,Accounting Advisory,GAAP,Faas,Ifrs Reporting,Accounting Standards,US GAAP,Consolidation,IGAAP,IFRS,Consolidation Of Accounts,Ind As,Ifrs Implementation"
492,Digital Marketing - Other,Medical Services / Hospital,Marketing & Communication,Full Time Permanent,Digital Marketing,"digital marketing,Marketing Campaigns,Social Media Marketing,SEO,Marketing Strategy,PPC,Google AdWords,Crm Software,Automation Tools,AdWords,SMM,SMO,CRM Management,SEM,Media,Automation",Digital Marketing
493,Technical Support - Voice / Blended,Industrial Automation,Customer Success Service & Operations,Full Time Permanent,Voice / Blended,"Navisworks,ERM,E3D,MTO,PDMS,VPRM,Materials","Administration,E3D,PDMS"
495,Medical Biller / Coder,BPO / Call Centre,Healthcare & Life Sciences,Full Time Permanent,Health Informatics,"AR Calling,denial management,us healthcare,Strong Analytical Skills,RCM,Medical Billing,Medical,Billing,Healthcare,Calling,Analytical","denail management,us healthcare,rcm"
496,Operations Manager,Hotels & Restaurants,Customer Success Service & Operations,Full Time Permanent,Operations,"Ensuring flawless execution of operations with excellent customer service standards,Identifying Grey areas of owns and then improvising on them,Good communication and planning with the central kitchen for their day to day need,Ensure proper utilization of team to get the best efficiency in Restaurant,Optimize use of Equipment,Should have the skills of trouble shooting the equipment as per the OEM process,Strict following on the Hygiene standards which are prescribed by the company to meet the Pizza Production at restaurant","store operations,business acumen,Customer Handling,qsr,Inventory Management,Staff Management,Restaurant Management,Leadership Skills,Pizza store,communication skills,Floor Management"
497,Animator,IT Services & Consulting,UX Design & Architecture,Full Time Permanent,Other Design,"Should be good with XR Architecture and Design Principles,BTech/MTech/MS in IT/Computer Science OR MCA,Strong 3D math background - Vector Calculus, Matrix manipulations, 3D Coordinate Geometry,Fair knowledge on college-level Newtonian Physics - Laws of Motion, Rigid Body Physics, Kinetics, Collisions, Gravity,Knowledge on basic optical principles - reflection, refraction, diffraction,Strong knowledge on Computer Graphics and associated algorithms - 2D/3D Viewing, 2D/3D Transformations, 3D Rendering and Optimization,Strong knowledge on Game Engine design and basic functioning of a Game Engine,Good knowledge of Unity3D, C#","3d rendering,Engine design,augmented reality,game development,Computer Graphics,virtual reality,Vuforia,ARFoundation,refraction,mixed reality,c#m unity 3D"
498,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Temporary/Contractual,Software Development,"react native,react.js,cordova ionic,javascript,Development,Cordova,Ionic Framework,Native","React Native,core javascript,design patterns"
499,Test Analyst,Accounting / Auditing,Engineering - Software & QA,Full Time Permanent,Quality Assurance and Testing,"Invite and give in the moment feedback in a constructive manner.,Share and collaborate effectively with others.,Identify and make suggestions for improvements when problems and/or opportunities arise.,Handle, manipulate and analyse data and information responsibly.,Follow risk management and compliance procedures.,Keep up-to-date with developments in area of specialism.,Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.,Build and maintain an internal and external network.,Seek opportunities to learn about how PwC works as a global network of firms.,Uphold the firms code of ethics and business conduct.","Leadership development,Manager Quality Assurance,Testing tools,Analytical,Functional testing,Test management,IFS,Agile,Selenium,Risk management"
500,Data Engineer,Power,Data Science & Analytics,Full Time Permanent,Data Science & Machine Learning,"We are seeking a highly skilled and motivated Senior Manager of Data Engineering to lead our dynamic team and drive excellence in data engineering practices,As a Senior Manager, you will play a pivotal role in architecting and optimizing our data lake house infrastructure, leveraging your expertise in technologies like Databricks, Apache Spark, and modern data engineering practices","Computer science,Cloud computing,Performance management,Data modeling,Agile,Engineering Manager,Asset management,Troubleshooting,Monitoring,Python"
502,Software Development - Other,Power,Engineering - Software & QA,Full Time Permanent,Software Development,"Performing and overseeing system administration tasks, including system installations, upgrades, migrations, patches, and maintenance activities for SAP systems (such as ECC, BW, GRC, Solution Manager etc.) across various landscapes,Defining and implementing cloud security measures to protect SAP applications and SAP data, ensuring compliance with industry standards and regulations,Collaborating with cross-functional teams, including SAP Functional, developers, infrastructure teams, and business stakeholders, to understand business requirements, provide technical guidance, and ensure successful delivery of SAP solutions.,Collaborate with Enterprise Architecture, Cyber Security and PMO governance teams on SAP Solution Architecture design and project milestones,Monitoring SAP system landscapes to ensure smooth operation, identify performance bottlenecks, and proactively resolve and lead performance engineering exercises to improve system performance,Planning and overseeing system upgrades, migrations, and system refresh activities. Effectively communicate and coordinate with other teams and stakeholders regarding downtimes and outages,Staying updated with SAP and Cloud Technologies: Stay abreast of the latest SAP and cloud technologies, trends, and best practices. Continuously enhance technical knowledge and skills through self-learning, training, and certifications. etc","Unix,Performance tuning,Linux,Db2,SAP Basis,Windows,Oracle,SAP Basis Administrator,SQL,System administration"
503,Other,Engineering & Construction,Other,Full Time Permanent,Other,"stress,Caesar II,caesar,Stress Analysis,autopipe,navisworks,pipe stress analysis,Piping Stress Analysis,Analysis,Piping","Fpso,jacket,engineering,Offshore Platforms,offshore,structural engineering,Upstream,sacs,electricals,piping,Detail Engineering,oil,design,Gas"
